name,dataset,role,label
simulation,battle,configuration,simulation
study,battle,configuration,study
version,battle,configuration,version
epoch,battle,ID,epoch
step,battle,ID,step
member_id,battle,ID,member_id
form_id,battle,ID,form_id
incarnation,battle,property,incarnation
event,battle,property,event
fault,battle,property,fault
famous,battle,property,famous
alive,battle,property,alive
final,battle,property,final
ranking,battle,kpi,ranking
victories,battle,property,victories
defeats,battle,property,defeats
data,battle,configuration,pace
Approximator,battle,Paramter,Approximator
RBF_gamma,battle,Paramter,gamma
NYS_kernel,battle,Paramter,kernel
NYS_gamma,battle,Paramter,gamma
NYS_n_components,battle,Paramter,n_components
Learner,battle,Paramter,Learner
ENC_l1_ratio,battle,Paramter,l1_ratio
ENC_tol,battle,Paramter,tol
LLC_normalize,battle,Paramter,normalize
LSR_loss,battle,Paramter,loss
LSR_dual,battle,Paramter,dual
LSR_tol,battle,Paramter,tol
LSR_C,battle,Paramter,C
LSR_epsilon,battle,Paramter,epsilon
